0.1000E+01     0.8447E-01
0.2000E+01     0.1389E+00
0.4000E+01     0.1994E+00
0.6000E+01     0.2497E+00
0.8000E+01     0.3026E+00
0.1000E+02     0.3387E+00
0.1200E+02     0.3801E+00
0.1400E+02     0.4228E+00
0.1600E+02     0.4652E+00
0.1800E+02     0.5104E+00
0.2000E+02     0.5535E+00
0.2200E+02     0.5961E+00
0.2400E+02     0.6376E+00
0.2600E+02     0.6785E+00
0.2800E+02     0.7173E+00
0.3000E+02     0.7555E+00
0.3200E+02     0.7934E+00
0.3400E+02     0.8284E+00
0.3600E+02     0.8604E+00
0.3800E+02     0.8941E+00
0.4000E+02     0.9228E+00
0.4400E+02     0.9788E+00
0.4800E+02     0.1024E+01
0.5200E+02     0.1067E+01
0.5600E+02     0.1098E+01
0.6000E+02     0.1123E+01
0.6400E+02     0.1141E+01
0.6800E+02     0.1149E+01
0.7200E+02     0.1154E+01
0.7600E+02     0.1152E+01
0.8000E+02     0.1144E+01
0.8400E+02     0.1131E+01
0.8800E+02     0.1112E+01
0.9200E+02     0.1091E+01
0.9600E+02     0.1064E+01
0.1000E+03     0.1036E+01
0.1040E+03     0.1004E+01
0.1080E+03     0.9694E+00
0.1120E+03     0.9341E+00
0.1160E+03     0.8969E+00
0.1200E+03     0.8602E+00
0.1240E+03     0.8216E+00
0.1280E+03     0.7838E+00
0.1320E+03     0.7460E+00
0.1360E+03     0.7087E+00
0.1400E+03     0.6716E+00
0.1440E+03     0.6366E+00
0.1480E+03     0.6012E+00
0.1520E+03     0.5687E+00
0.1560E+03     0.5364E+00
0.1600E+03     0.5044E+00
0.1640E+03     0.4752E+00
0.1680E+03     0.4477E+00
0.1720E+03     0.4193E+00
0.1760E+03     0.3935E+00
0.1800E+03     0.3689E+00
0.1840E+03     0.3457E+00
0.1880E+03     0.3239E+00
0.1920E+03     0.3033E+00
0.1960E+03     0.2841E+00
0.2000E+03     0.2656E+00
0.2200E+03     0.1897E+00
0.2400E+03     0.1351E+00
0.2600E+03     0.9617E-01
0.2800E+03     0.6884E-01
0.3000E+03     0.4946E-01
0.3200E+03     0.3576E-01
0.3400E+03     0.2603E-01
0.3600E+03     0.1906E-01
0.3800E+03     0.1406E-01
0.4000E+03     0.1043E-01
0.4200E+03     0.7771E-02
0.4400E+03     0.5847E-02
0.4600E+03     0.4403E-02
0.4800E+03     0.3347E-02
0.5000E+03     0.2547E-02
0.5200E+03     0.1951E-02
0.5400E+03     0.1503E-02
0.5600E+03     0.1159E-02
0.5800E+03     0.9002E-03
0.6000E+03     0.7005E-03
0.6200E+03     0.5463E-03
0.6400E+03     0.4283E-03
0.6600E+03     0.3363E-03
0.6800E+03     0.2646E-03
0.7000E+03     0.2093E-03
0.7200E+03     0.1655E-03
0.7400E+03     0.1314E-03
0.7600E+03     0.1047E-03
0.7800E+03     0.8317E-04
0.8000E+03     0.6651E-04
0.8200E+03     0.5318E-04
0.8400E+03     0.4255E-04
0.8600E+03     0.3413E-04
0.8800E+03     0.2745E-04
0.9000E+03     0.2205E-04
0.9200E+03     0.1777E-04
0.9400E+03     0.1431E-04
0.9600E+03     0.1154E-04
0.9800E+03     0.9319E-05
0.1000E+04     0.7531E-05
0.1020E+04     0.6087E-05
0.1040E+04     0.4922E-05
0.1060E+04     0.3990E-05
0.1080E+04     0.3234E-05
0.1100E+04     0.2618E-05
0.1120E+04     0.2127E-05
0.1140E+04     0.1723E-05
0.1160E+04     0.1394E-05
0.1180E+04     0.1134E-05
0.1200E+04     0.9189E-06
0.1220E+04     0.7463E-06
0.1240E+04     0.6052E-06
0.1260E+04     0.4910E-06
0.1280E+04     0.3979E-06
0.1300E+04     0.3228E-06
0.1320E+04     0.2618E-06
0.1340E+04     0.2120E-06
0.1360E+04     0.1716E-06
0.1380E+04     0.1391E-06
0.1400E+04     0.1125E-06
0.1420E+04     0.9087E-07
0.1440E+04     0.7351E-07
0.1460E+04     0.5944E-07
0.1480E+04     0.4791E-07
0.1500E+04     0.3868E-07
