1582.5   2.578E-06   1.676E-07  -1.981E-07   1.336E-07  -1.379E-07   1.888E-07  -1.519E-07
1607.5   2.267E-06   1.543E-07  -1.757E-07   1.204E-07  -1.248E-07   1.712E-07  -1.372E-07
1632.5   1.999E-06   1.378E-07  -1.570E-07   1.087E-07  -1.128E-07   1.555E-07  -1.242E-07
1657.5   1.763E-06   1.237E-07  -1.407E-07   9.819E-08  -1.021E-07   1.416E-07  -1.124E-07
1682.5   1.556E-06   1.116E-07  -1.269E-07   8.879E-08  -9.212E-08   1.288E-07  -1.018E-07
1707.5   1.376E-06   9.993E-08  -1.144E-07   8.050E-08  -8.352E-08   1.176E-07  -9.206E-08
1732.5   1.216E-06   9.040E-08  -1.028E-07   7.272E-08  -7.556E-08   1.069E-07  -8.398E-08
1757.5   1.075E-06   8.063E-08  -9.151E-08   6.581E-08  -6.837E-08   9.732E-08  -7.599E-08
1782.5   9.530E-07   7.280E-08  -8.355E-08   5.947E-08  -6.198E-08   8.885E-08  -6.887E-08
1807.5   8.434E-07   6.656E-08  -7.440E-08   5.382E-08  -5.650E-08   8.097E-08  -6.249E-08
1832.5   7.466E-07   6.031E-08  -6.675E-08   4.876E-08  -5.092E-08   7.361E-08  -5.680E-08
1857.5   6.637E-07   5.354E-08  -6.031E-08   4.420E-08  -4.635E-08   6.737E-08  -5.160E-08
1882.5   5.886E-07   4.851E-08  -5.413E-08   3.983E-08  -4.192E-08   6.120E-08  -4.673E-08
1907.5   5.224E-07   4.409E-08  -4.905E-08   3.608E-08  -3.825E-08   5.603E-08  -4.263E-08
1932.5   4.650E-07   3.889E-08  -4.485E-08   3.289E-08  -3.469E-08   5.110E-08  -3.880E-08
1957.5   4.131E-07   3.554E-08  -3.991E-08   2.986E-08  -3.131E-08   4.668E-08  -3.505E-08
1982.5   3.668E-07   3.290E-08  -3.592E-08   2.699E-08  -2.856E-08   4.252E-08  -3.201E-08
2007.5   3.264E-07   2.974E-08  -3.240E-08   2.444E-08  -2.591E-08   3.893E-08  -2.906E-08
2032.5   2.915E-07   2.591E-08  -2.974E-08   2.236E-08  -2.358E-08   3.569E-08  -2.650E-08
2057.5   2.590E-07   2.400E-08  -2.626E-08   2.021E-08  -2.139E-08   3.239E-08  -2.391E-08
2082.5   2.307E-07   2.160E-08  -2.389E-08   1.825E-08  -1.947E-08   2.964E-08  -2.185E-08
2107.5   2.056E-07   1.965E-08  -2.119E-08   1.664E-08  -1.768E-08   2.710E-08  -1.994E-08
2132.5   1.835E-07   1.774E-08  -1.945E-08   1.511E-08  -1.607E-08   2.474E-08  -1.810E-08
2157.5   1.637E-07   1.596E-08  -1.777E-08   1.375E-08  -1.461E-08   2.265E-08  -1.646E-08
2182.5   1.460E-07   1.439E-08  -1.599E-08   1.247E-08  -1.330E-08   2.070E-08  -1.496E-08
2207.5   1.304E-07   1.300E-08  -1.467E-08   1.134E-08  -1.210E-08   1.890E-08  -1.367E-08
2232.5   1.161E-07   1.201E-08  -1.260E-08   1.029E-08  -1.097E-08   1.724E-08  -1.241E-08
